@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "ICR_IPN2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         200.0022009
@ PC               %le                 200
@ GAMMA            %le         213.1601322
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le              0.0003
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le     1.641976142e-09
@ EY               %le     3.283952285e-10
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le            2335.975
@ ALFA             %le      0.005796577504
@ ORBIT5           %le                  -0
@ GAMMATR          %le          13.1345191
@ Q1               %le         23.21998653
@ Q2               %le         20.16005938
@ DQ1              %le     6.523722838e-10
@ DQ2              %le     1.748931592e-09
@ DXMAX            %le         5.665685856
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         4212.862086
@ BETYMAX          %le          4208.30176
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.692066567
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.04.02 Linux 64"
@ DATE             %08s "27/06/19"
@ TIME             %08s "13.47.44"
* NAME               KEYWORD                             S                  L              ANGLE               BETY               ALFY                MUY                K1L 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le 
 "DEC2AE02N"         "DRIFT"                    200.9312737        4.880842714                  0         88.9743147        18.47470215        1.303789722                  0
 "BXYC"              "KICKER"                   201.4312737                0.5                  0        71.46144806        16.55103114        1.304787709                  0
 "DQAFE"             "DRIFT"                    201.4812737               0.05                  0         69.8159633        16.35866404        1.304900371                  0
 "QEC2AE04"          "QUADRUPOLE"               202.2812737                0.8                  0        51.85651561        6.863843697        1.307053396       0.1300505217
 "DQAFE"             "DRIFT"                    202.3312737               0.05                  0        51.17245073        6.817453818        1.307207875                  0
 "MON"               "MONITOR"                  202.4812737               0.15                  0        49.14809003        6.678284179        1.307683912                  0
 "DEC2AE02N"         "DRIFT"                    207.3621165        4.880842714                  0         6.05935534        2.149850063        1.353320828                  0
 "BXYC"              "KICKER"                   207.8621165                0.5                  0        4.141454676        1.685951267        1.369232808                  0
 "DQAFE"             "DRIFT"                    207.9121165               0.05                  0        3.975179043        1.639561387        1.371194118                  0
 "QEC2AE05"          "QUADRUPOLE"               208.7121165                0.8                  0         2.33194409        0.516074408        1.414601489       0.1873184196
 "DQAFE"             "DRIFT"                    208.7621165               0.05                  0        2.281694243       0.4889225393        1.418051626                  0
 "MON"               "MONITOR"                  208.9121165               0.15                  0        2.147235822       0.4074669332        1.428845461                  0
 "DEC2AE02N"         "DRIFT"                    213.7929592        4.880842714                  0        11.10624784       -2.243013076        1.673680399                  0
 "BXYC"              "KICKER"                   214.2929592                0.5                  0        13.48502026       -2.514531763        1.680184714                  0
 "DQAFE"             "DRIFT"                    214.3429592               0.05                  0        13.73783103       -2.541683632        1.680769378                  0
 "QEC2AE06"          "QUADRUPOLE"               215.1429592                0.8                  0        19.73166618       -5.180614559        1.688625933       0.1158297002
 "DQAFE"             "DRIFT"                    215.1929592               0.05                  0        20.25325481       -5.251157936        1.689024005                  0
 "MON"               "MONITOR"                  215.3429592               0.15                  0        21.86034671       -5.462788066        1.690158596                  0
 "DEC2AE02N"         "DRIFT"                    220.2238019        4.880842714                  0        108.7969344       -12.34901059        1.706113925                  0
 "BXYC"              "KICKER"                   220.7238019                0.5                  0        121.4986619       -13.05444436        1.706806071                  0
 "DQAFE"             "DRIFT"                    220.7738019               0.05                  0        122.8076335       -13.12498774        1.706871218                  0
 "QEC2AE07"          "QUADRUPOLE"               221.5738019                0.8                  0         126.320848        8.940786319        1.707869745      -0.1753691335
 "DQAFE"             "DRIFT"                    221.6238019               0.05                  0        125.4283711        8.908749778        1.707932965                  0
 "MON"               "MONITOR"                  221.7738019               0.15                  0        122.7701627        8.812640156        1.708125348                  0
 "DEC2AE02N"         "DRIFT"                    226.6546446        4.880842714                  0        52.00783201         5.68533382        1.717852923                  0
 "BXYC"              "KICKER"                   227.1546446                0.5                  0        46.48268089        5.364968412        1.719471442                  0
 "DQAFE"             "DRIFT"                    227.2046446               0.05                  0        45.94778588        5.332931871        1.719643633                  0
 "QEC2AE08"          "QUADRUPOLE"               228.0046446                0.8                  0        40.58725449        1.516258431        1.722625116      0.08349144888
 "DQAFE"             "DRIFT"                    228.0546446               0.05                  0        40.43583185        1.512194298        1.722821548                  0
 "MON"               "MONITOR"                  228.2046446               0.15                  0        39.98400242        1.500001901        1.723415274                  0
 "DAE01"             "DRIFT"                    231.3255729        3.120928253                  0        31.41291452         1.24632458         1.73744889                  0
 "DAF02"             "DRIFT"                    231.5755729               0.25                  0        30.79483239        1.226003917        1.738728188                  0
 "DBXAFE"            "DRIFT"                    231.7155729               0.14                  0        30.45314443        1.214624346        1.739455792                  0
 "BXAE"              "RBEND"                    235.7155729                  4      0.02328093419        22.02280134       0.8923902439        1.764137198                  0
 "DBXAFE"            "DRIFT"                    235.8555729               0.14                  0        21.77453081       0.8809706954        1.765154712                  0
 "DBSXT"             "DRIFT"                    236.0555729                0.2                  0        21.42540526       0.8646570546         1.76662844                  0
 "DBXAFE"            "DRIFT"                    236.1955729               0.14                  0        21.18490002       0.8532375061          1.7676743                  0
 "BXAE"              "RBEND"                    240.1955729                  4      0.02328093419        15.65445992       0.5289978129        1.802919782                  0
 "DBXAFE"            "DRIFT"                    240.3355729               0.14                  0        15.50794294       0.5175520385        1.804349854                  0
 "DAE01"             "DRIFT"                    243.4565011        3.120928253                  0        13.07377205       0.2623988915        1.839519389                  0
 "DAF01"             "DRIFT"                    244.1565011                0.7                  0        12.74647381       0.2051700197         1.84815386                  0
 "MON"               "MONITOR"                  244.3065011               0.15                  0        12.68676231         0.19290669        1.850031235                  0
 "DQAFE"             "DRIFT"                    244.3565011               0.05                  0        12.66767603       0.1888189134        1.850658957                  0
 "QAE06"             "QUADRUPOLE"               245.1565011                0.8                  0         12.9575994      -0.5563572057         1.86067432      0.05327594803
